,title,description
5703,Refresh Man,Ten years after a oncepromising student graduates she finds herself working at a cosmetics company run by the boy with the worst grades in school
5704,Richard Pryor: Live in Concert,Richard Pryors classic 1979 concert film has him discussing a wide range of topics including race the police and his favorite target  himself
5705,The Violin Player,An unemployed Bollywood session violinist in Mumbai finally lands a small gig but its what happens on his way home that proves truly transformative
5706,Beauties of the Night,Back in the days of disco Mexico had its own stars of the night This documentary casts new light on former queens of the Mexican burlesque scene
5707,Gilmore Girls: A Year in the Life,Set nearly a decade after the finale of the original series this revival follows Lorelai Rory and Emily Gilmore through four seasons of change
5708,Michael Che Matters,SNL star Michael Che takes on hotbutton topics like inequality homophobia and gentrification in this standup set filmed live in Brooklyn
5709,Mercy,Two brothers clash with their halfsiblings when a visit home to see their dying mother surfaces old secrets and becomes a fight for survival
5710,The Land of Cards,A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play
5711,Carlos Ballarta: El amor es de putos,Carlos Ballarta mocks daily life in Mexico including public transit the education system and the corn seller who betrays your confidence
5712,Donald Glover: Weirdo,Fearlessly funny standup comic and sitcom star Donald Glover puts on a live show in New York confessing his love for Cocoa Puffs and Toys R Us
5713,Colin Quinn: The New York Story,The SNL veteran performs his offBroadway show about the history of New York and the people who shape its personality Directed by Jerry Seinfeld
5714,Divines,A shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer
5715,La Niña,A former Colombian guerrilla fighter faces challenges as she reintegrates into society and tries to overcome her traumatic memories
5716,Paranoid,When a woman is brutally murdered on a playground a group of detectives find themselves drawn into a dark conspiracy as they search for the killer
5717,Dieter Nuhr: Nuhr in Berlin,The cerebral and popular German cabaret comic expounds his theories on gender norms primal instincts and a decidedly gastrointestinal Big Bang
5718,Mumbai Cha Raja,This comingofage tale follows Rahul a young boy growing up in a Mumbai slum whose alcoholic father abuses him and his mother
5719,True Memoirs of an International Assassin,After his publisher markets his crime novel as a memoir a novice author finds himself forcibly recruited into a deadly political plot in Venezuela
5720,Einsatzgruppen: The Nazi Death Squads,This documentary series examines the Einsatzgruppen Nazis responsible for the mass murder of Jews Romani and Soviet prisoners in Eastern Europe
5721,Kathleen Madigan: Bothering Jesus,The Irish American comic riffs on everything from growing up in Missouri signing up her parents to be Uber drivers and anything to do with bacon
5722,Case,A smart lawyer whose drinking and recklessness send him on a path of selfdestruction finds new purpose investigating a teenagers apparent suicide
5723,Danger Mouse,The worlds greatest superspy returns to save the world with the help of hapless hamster Penfold and a collection of stateoftheart gadgetry
5724,"Dana Carvey: Straight White Male, 60",Emmywinning comedian Dana Carvey blends pitchperfect takes on big personalities with sotrueithurts stories from his life as a dad of millennials
5725,The Ivory Game,Filmmakers infiltrate the corrupt global network of ivory trafficking exposing poachers and dealers as African elephants edge closer to extinction
5726,A Grand Night In: The Story of Aardman,Aardman Animations icons Wallace  Gromit Morph and more join fans and collaborators for a retrospective celebrating the studios 40th anniversary
5727,Inborn Pair,Betrothed while in utero a resort group president enters into an arranged marriage with a legal assistant Despite their bickering love blooms
5728,Just You,When her uptight new boss and landlord starts a war on office romances plucky Liangliang quickly starts looking for ways to get him to lighten up
5729,Love Around,After a chance meeting at a ballpark the kind son of a former gangster tries to help an outgoing radio DJ get over her recent heartbreak
5730,Love Family,A wealthy heirs search for a nameless childhood sweetheart leads him to an inn run by a family with three sisters But which one is his true love
5731,Love Me or Leave Me,When a marriagephobic woman hires a seductress to test how faithful her eagertowed boyfriend is her plan takes an unexpected turn
5732,Love Now,When her loved ones cook up a morbid plan to make her take time off from work Yang Yiru goes on a vacation truly believing she has terminal cancer
5733,Norman Lear: Just Another Version of You,This documentary turns the spotlight on the man behind the iconic All in the Family with comments from friends family and famous collaborators
5734,Santa Pac's Merry Berry Day,Pac aims to keep Berry Day the happiest day ever by unraveling a curious mystery about his parents and thwarting Betrayuss plan to capture Santa Pac
5735,Spanish Affair 2,Spanish provincialism is put into the spotlight as a man from the Basque Country embarks on a mission to keep his daughter from marrying a Catalan
5736,Pup Star,After a singing pup with big dreams of stardom gets dognapped and escapes with a friends help her journey home is a fun musicfilled adventure
5737,I Am the Pretty Thing That Lives in the House,A nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets
5738,Into the Inferno,With stunning views of eruptions and lava flows Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices
5739,The African Doctor,Happily escaping a dictatorship a Congolese doctor transplants his family to a small French village where culture shock sets in for everyone
5740,They Are Everywhere,In counseling sessions with his therapist preoccupied Yvan shares stories of antiSemitism and what its like to live as a Jew in modern France
5741,Trailer Park Boys: Out of the Park: Europe,The Trailer Park Boys are thrilled to get a free trip to Europe until they arrive and learn about their corporate sponsors unusual requirements
